variable,units,description,lower,median,upper,distribution,source
AF_maize_loss_status_quo,percent,amount of maize loss by aflatoxins in status quo,0.375,,0.825,posnorm,experts estimated
af36_concentration_need,ton AF36/ton maize,optimal concentration of AF36 to be added to the fields,0.0825,,0.1,posnorm,experts estimated
af36_distribution,mxn,cost for gruma to distribute ,2000,,4000,posnorm,https://www.uship.com/mx/precio-de-env%C3%ADo/productos-alimenticios-y-agr%C3%ADcolas-6/
af36_maize_loss_field,percent,seasonal maize loss by AF with AF36 implementation at field stage,0.355,,0.564,posnorm,experts estimated
af36_maize_loss_storage,percent,seasonal maize loss by AF with AF36 implementation at storage stage,0.375,,0.5,posnorm,experts estimated
af36_purchase_price,mxn pesos / ton,price at which gruma buys AF36 per ton of maize,2000,,5000,posnorm,"B. Migwi, C. Mutegi, J. Mburu et al."
af36_training,mxn pesos,cost to train farmers to use AF36,5000,,10000,posnorm,https://www.emagister.com.mx/cursos_agricultura_ganaderia_ciudad_mexico_distrito_federal-categprov-449-68.htm
coef_var,unitary,,1,,5,posnorm,estimated
dipstick_distribution,mxn pesos,cost for Gruma to distribute dispstick assay tests throughout the states needed,2000,,4000,posnorm,https://www.uship.com/mx/precio-de-env%C3%ADo/productos-alimenticios-y-agr%C3%ADcolas-6/
dipstick_maize_loss_field,percent,percent of maize loss due to aflatoxins in the dipstick assay option at field,0.658,,0.8571,posnorm,experts estimated (faith added)
dipstick_maize_loss_storage,percent,percent of maize loss due to aflatoxins in the sdipstick assay option at storage,0.154,,0.356,posnorm,experts estimated (faith added)
dipstick_materials_need,mxn pesos/ton ,how much money is needed per ton of maize to purchase the materials and agents needed to test with dipstick assay,5000,,14000,posnorm,estimated
dipstick_training,mxn pesos,how much it costs for Gruma to train farmers to use dipstick assay testing,5000,,10000,posnorm,estimated
discount_rate,percent,,1,,5,posnorm,estimated
earnings_per_ton_maize,mxn pesos / ton,how much maseca earns per ton of maize acquired,5000,,12000,posnorm,estimated
field_area,ha,area of harvest,52125,,94500,posnorm,experts estimated
harvest_per_farmer,ton/farmer,amount of maize harvested per farmer in Tamaulipas,35.25,,77,posnorm,experts estimated
import_price,mxn pesos / ton,price at which Gruma buys maize in the USA,2000,,7500,posnorm,https://www.fao.org/faostat/en/#data/TCL
incentive_additional_maize,ton,how much additional maize can be purchased per farmer that complies for incentive,10,,100,posnorm,experts estimated
incentive_maize_loss_field,percent,seasonal maize loss by AF with no cash incentive at field stage,0.1125,,0.345,posnorm,experts estimated
incentive_maize_loss_storage,percent,seasonal maize loss by AF with no cash incentive at storage stage,0.251,,0.45,posnorm,experts estimated
incentive_no_cash,mxn pesos,how much the incentive would cost per farmer,20000,,100000,posnorm,estimated
incentive_number_farmers,farmers,number of farmers that would participate in the trainings for ag. Mgt. practices,10,,20,posnorm,experts estimated
incentive_training_cost,mxn pesos,cost of training for mgt. practices for no-cash incentives,50000,,70000,posnorm,estimated
local_price,mxn pesos/ton ,price at which Gruma buys maize in MX,6500,,9100,posnorm,https://smattcom.com/blog/el-maiz-en-smattcom
maize_yearly_seasons,unitary,number of maize seasons in a year in AF infested state,1,,1,const,estimated
mexico_yield,ton/ha,how much maize can be produced per hectare in mexico,3,,6,posnorm,experts estimated
n_years,unitary,number of seasons the model will run for,20,,20,const,estimated
risk_af36_dispersion,percent,probability that the method doesn't work and the AF spreads out,0.2125,,0.75,posnorm,experts estimated (faith added)
risk_af36_farmers_misuse,percent,probability that the farmers misuse the method and it doesn't work,0.65,,0.8,posnorm,experts estimated (faith added)
risk_climatic_dispersion,percent,"probability that the crop is loss by aflatoxins because of climatic conditions, number of years within 10 years",0.0257,,0.0972,posnorm,experts estimated
risk_dipstick_farmers_misuse,percent,probability that the farmers misuse the tests and more maize gets contaminated,0.1,,0.5,posnorm,experts estimated (faith added)
risk_incentive_fail,percent,probability that the no-cash incentive does not reduce the aflatoxin level in maize ,0.1875,,0.475,posnorm,experts estimated (faith added)
risk_selfst_outbreak,percent,probability that there is an aflatoxin outbreak in the self-storage,0.2375,,0.5312,posnorm,experts estimated (faith added)
season_revenue_status_quo,mxn pesos,utilidad bruta pagina 7 2019 - 2021,2000000000,,3000000000,norm,https://www.gruma.com/media/710451/gruma_reporte_anual_2021_-_versi_n_final_con_anexos.pdf - entre 30 por .6
selfst_equipment_costs,mxn pesos,amount of money needed for equipment and all other input for the storage warehouse one time cost,800000,,1000000,posnorm,estimated
selfst_infrastructure_costs,mxn pesos,amount of money needed to build appropriate warehouses for maize storage one time cost,500000,,1000000,posnorm,estimated
selfst_maintenance_costs,mxn pesos,amount of money needed to maintain maize storage facilities yearly,10000,,20000,posnorm,estimated
selfst_maize_loss_field,percent,percent of maize loss due to aflatoxins in the self-storage option at field,0.25,,0.75,posnorm,experts estimated
selfst_maize_loss_storage,percent,percent of maize loss due to aflatoxins in the self-storage option at storage,0.1875,,0.2475,posnorm,experts estimated
selfst_maizetransport_costs,mxn pesos,amount of money needed to transport maize from farmers to self-storage warehouses,20000,,100000,posnorm,estimated
selfst_personnel_costs,mxn pesos,amount of money needed for new personnel to work at the warehouses,500000,,700000,posnorm,estimated
status_quo_use_maize,percent,amount of maize currently used from Tamaulipas,0.1125,,0.5375,posnorm,experts estimated
total_area_harvest,ton,amount of maize harvested by the farmers in the area,293750,,504625,posnorm,experts estimated
